09-06 22:35:17:229    Scroll DOWN pressed
09-06 22:35:24:211    Scroll UP pressedScroll UP press
09-06 22:35:24:213    ed
09-06 22:35:24:215    Scroll UP pressedScroll UP press
09-06 22:35:24:216    ed
09-06 22:35:24:222    Scroll UP pressed
09-06 22:35:24:246    Scroll UP pressed
09-06 22:35:24:641    Scroll UP pressed
09-06 22:35:24:652    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pre
09-06 22:35:24:656    ssedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll 
09-06 22:35:24:659    UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScr
09-06 22:35:24:660    oll UP pressedScroll UP pressed
09-06 22:35:24:973    Scroll DOWN pressedScroll DOWN p
09-06 22:35:24:976    ressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedSc
09-06 22:35:24:977    roll DOWN pressed
09-06 22:35:24:978    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll 
09-06 22:35:24:979    DOWN pressed
09-06 22:35:24:983    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedS
09-06 22:35:24:985    croll DOWN pressed
09-06 22:35:24:986    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedS
09-06 22:35:24:990    croll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:24:991    WN pressedScroll DOWN pressed
09-06 22:35:24:993    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll D
09-06 22:35:24:994    OWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:001    ssedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressed
09-06 22:35:25:002    Scroll DOWN pressed
09-06 22:35:25:004    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:005    ressed
09-06 22:35:25:007    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:008    ressed
09-06 22:35:25:015    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedS
09-06 22:35:25:018    croll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:25:019    WN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll
09-06 22:35:25:020     UP pressedScroll DOWN pressedSc
09-06 22:35:25:021    roll UP pressed
09-06 22:35:25:045    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN p
09-06 22:35:25:046    ressedScroll UP pressedScroll DO
09-06 22:35:25:047    WN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:049    sedScroll DOWN pressed
09-06 22:35:25:050    Scroll UP pressedScroll UP press
09-06 22:35:25:058    edScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN p
09-06 22:35:25:061    ressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll 
09-06 22:35:25:064    DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:068    ssedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:25:069    WN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:070    sedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScro
09-06 22:35:25:072    ll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN
09-06 22:35:25:073     pressed
09-06 22:35:25:075    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pr
09-06 22:35:25:076    essedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedSc
09-06 22:35:25:077    roll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:25:079    WN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOW
09-06 22:35:25:084    N pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pre
09-06 22:35:25:086    ssedScroll UP pressed
09-06 22:35:25:093    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pr
09-06 22:35:25:095    essedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:106    ssedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScrol
09-06 22:35:25:110    l DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll D
09-06 22:35:25:113    OWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:114    sed
09-06 22:35:25:121    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:124    sedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll U
09-06 22:35:25:126    P pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressed
09-06 22:35:25:134    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:135    ressedScroll DOWN pressed
09-06 22:35:25:136    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:138    ressed
09-06 22:35:25:145    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP
09-06 22:35:25:146     pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScr
09-06 22:35:25:148    oll UP pressedScroll UP pressed
09-06 22:35:25:156    Scroll UP pressedScroll UP press
09-06 22:35:25:158    edScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll 
09-06 22:35:25:162    UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP 
09-06 22:35:25:163    pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScro
09-06 22:35:25:166    ll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll 
09-06 22:35:25:168    UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP presse
09-06 22:35:25:170    dScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll U
09-06 22:35:25:173    P pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP p
09-06 22:35:25:175    ressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScrol
09-06 22:35:25:185    l UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressed
09-06 22:35:25:188    Scroll UP pressedScroll UP press
09-06 22:35:25:190    ed
09-06 22:35:25:475    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:477    ressed
09-06 22:35:25:485    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:25:485    WN pressedScroll DOWN pressedScr
09-06 22:35:25:486    oll DOWN pressed
09-06 22:35:25:489    Scroll DOWN pressed
09-06 22:35:25:494    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:495    ressed
09-06 22:35:25:500    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:502    ressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pr
09-06 22:35:25:503    essed
09-06 22:35:25:508    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:509    ressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pr
09-06 22:35:25:511    essedScroll DOWN pressed
09-06 22:35:25:511    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll 
09-06 22:35:25:514    DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:516    ssedScroll DOWN pressed
09-06 22:35:25:521    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScr
09-06 22:35:25:524    oll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN press
09-06 22:35:25:524    edScroll DOWN pressedScroll DOWN
09-06 22:35:25:525     pressedScroll DOWN pressedScrol
09-06 22:35:25:527    l DOWN pressedScroll DOWN presse
09-06 22:35:25:528    dScroll DOWN pressed
09-06 22:35:25:542    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN presse
09-06 22:35:25:545    dScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressed
09-06 22:35:25:550    Scroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN press
09-06 22:35:25:551    edScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN presse
09-06 22:35:25:553    d
09-06 22:35:25:566    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DO
09-06 22:35:25:569    WN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll U
09-06 22:35:25:570    P pressedScroll DOWN pressedScroll UP pressedScroll UP pressedSc
09-06 22:35:25:574    roll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP 
09-06 22:35:25:574    pressed
09-06 22:35:25:577    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP p
09-06 22:35:25:578    ressedScroll DOWN pressedScroll 
09-06 22:35:25:579    UP pressedScroll UP pressed
09-06 22:35:25:582    Scroll DOWN pressedScroll DOWN p
09-06 22:35:25:584    ressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedS
09-06 22:35:25:589    croll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP presse
09-06 22:35:25:592    dScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScr
09-06 22:35:25:595    oll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScro
09-06 22:35:25:597    ll UP pressedScroll UP pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:598    ssedScroll DOWN pressedScroll DO
09-06 22:35:25:599    WN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:600    sedScroll DOWN pressedScroll DOW
09-06 22:35:25:603    N pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN
09-06 22:35:25:603     pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN presse
09-06 22:35:25:604    dScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll
09-06 22:35:25:607     DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScr
09-06 22:35:25:613    oll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScro
09-06 22:35:25:614    ll UP pressedScroll UP pressedScroll UP pressedScroll UP pressed
09-06 22:35:25:615    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll 
09-06 22:35:25:623    UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScro
09-06 22:35:25:625    ll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScrol
09-06 22:35:25:630    l DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP press
09-06 22:35:25:633    edScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pres
09-06 22:35:25:639    sedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScrol
09-06 22:35:25:641    l UP pressed
09-06 22:35:25:651    Scroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll D
09-06 22:35:25:653    OWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pre
09-06 22:35:25:655    ssedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll
09-06 22:35:25:657     DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll DOWN p
09-06 22:35:25:661    ressedScroll DOWN pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScr
09-06 22:35:25:665    oll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll DO
09-06 22:35:25:667    WN pressedScroll DOWN pressedScroll DOWN pressed
09-06 22:35:25:671    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll
09-06 22:35:25:672     DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressed
09-06 22:35:25:673    Scroll UP pressedScroll UP pressedScroll UP pressedScroll UP pre
09-06 22:35:25:676    ssedScroll UP pressedScroll DOWN pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll
09-06 22:35:25:678     UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressed
09-06 22:35:25:693    Scroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll DOWN pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll 
09-06 22:35:25:696    UP pressedScroll UP pressedScrol
09-06 22:35:25:697    l UP pressedScroll UP pressedScr
09-06 22:35:25:698    oll UP pressedScroll UP pressedS
09-06 22:35:25:699    croll UP pressed
09-06 22:35:25:701    Scroll UP pressedScroll UP press
09-06 22:35:25:702    edScroll UP pressedScroll UP pressedScroll UP pressedScroll UP p
09-06 22:35:25:704    ressedScroll UP pressed
09-06 22:35:25:729    Scroll UP pressedScroll UP pressedScroll UP press
09-06 22:35:25:730    edScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP
09-06 22:35:25:733     pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScr
09-06 22:35:25:734    oll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pres
09-06 22:35:25:738    sedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP pressedScroll UP press
09-06 22:35:25:739    edScroll UP pressed
09-06 22:35:25:746    Scroll UP pressedScroll UP press
09-06 22:35:25:747    edScroll UP pressed
09-06 22:35:25:757    Scroll UP pressed
